reject_id,reason,duplicate_of_hash,source_csv,source_csv_row_index,item_id,page_index,candidate_text_candidate,source_norm_hash,mining_score,extraction_quality_proxy,categories_from_mining,risk_notes
MCT-UWINDSOR-365-REJECT-0011,same_item_page_source_page_cap,ec99c2842e2c3283,chekhov_on_directing_footnote_targets_raw.csv,10,746,36,0n the other hand. the ending of the Two Kinza is weak and leaves the audience without any Idea of that it has been all about. l‘wo Kim's: The director should try to find a new psychological gesture for the whole play. one that would give the actors an idea or the whole play.,b36929e162b65755,137,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0012,same_item_page_source_page_cap,1f9e2cc0de5fb5cc,chekhov_on_directing_footnote_targets_raw.csv,1,857,3,"I went to call your attention to the following: when you have done this movement with the feeling of the whole, certain interpretation was there which came from the condition that we are psychologically embracing the whole. Now, I will give you another condition, and you will see that interpretation inevitably comes through this rhythmical chansing. will you new experience the second thing - the beginning and the end, and the middle part which binds the bo-» ginning and tho and. or as we call the first part. the last part, and the second part.",5a16b56f084aa695,145,0.886,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0013,same_item_page_source_page_cap,5eb65514d2d6e7ec,chekhov_on_directing_footnote_targets_raw.csv,2,680,12,"This was lacking in Paul's appearance, but this is the question of a very fine composition in the soul of the actor. and the director's task in to combine the elements of the beginning. sn that they will be absolutely opposite to the end. iho psychological gesture of the and must be done. as well as the psychological gesture of the beginning. let us take another case. when Beatrice. as Jew} has received the inupiration. lho young actor in not always able to hide his or her personal things which are not quite right for the moment.",be718a2854d29572,144,0.890,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0014,same_item_page_source_page_cap,4d5c95255bc1c074,chekhov_on_directing_footnote_targets_raw.csv,11,847,1,"1938 RHYTHM - FEELING OF THE WHOLE RHYTHMICAL INTERPRETATION TEUPO PSYCHOLOGICAL GESEURE INSPIRATION‘ E ng Lear RHYTHM - FEELING OF THE WHOLE: We will do rhythmical exercises which will help you to hring rhythm into the plays. We will only take into consideration rhythm in general, only as a feeling of the whole, with the beginning. the middle and the end, and you will do this by moving one hand.",d24ed66900e4a749,137,0.889,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0015,same_item_page_source_page_cap,f365d44e87f62a48,chekhov_on_directing_footnote_targets_raw.csv,16,665,7,1937 afraid of touching the most important moments. if you had only the old methods you wohld not be able to do this. out by touching on the play you are able to do everything. and your imagination will work simultaneously with the gesture. The climax of this play is a most tragic situation. it is at the moment when Jocelyn meets her husband.,3aa611db9062711b,134,0.892,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0016,same_item_page_source_page_cap,4d5c95255bc1c074,chekhov_on_directing_footnote_targets_raw.csv,5,847,1,"We will only take into consideration rhythm in general, only as a feeling of the whole, with the beginning. the middle and the end, and you will do this by moving one hand.",24c825d2f25b8b31,139,0.889,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0017,same_item_page_source_page_cap,79159b9ddd57d171,chekhov_on_directing_footnote_targets_raw.csv,7,1077,4,"Secondly. the simple action, and the simple quality will appeal to our utmost inner life, as wo are not touching our feelings first. we are not tearing our soul to pieces to find our feclings,iwhich cannot be found in that way. When the actor cannot find his feelings — for instance, tender love for a child - if he tells the director that ho has never had a child. the director can answer him that everyone can give the quality of tenderness and love to his actions.",2e00f4d21be9c12b,138,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0018,same_item_page_source_page_cap,85fb97af64a7bf0a,chekhov_on_directing_footnote_targets_raw.csv,13,659,5,"1937 The loss free the actor will he in doing his psychological gesture, the more free he will he later on. it depends upon the director what form of the gesture he gives. we are now working with the psychological gesture because we want to understand it. Later we will perhaps pay less attention to it, and will pay more attention to imagination and other things. iho director can find the whole play in the platonic world.",1846179b646719e4,135,0.892,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0019,same_item_page_source_page_cap,ec99c2842e2c3283,chekhov_on_directing_footnote_targets_raw.csv,20,746,36,The ending in Bnllndina II is a very good line; it should be elaborated and made more clear. 0n the other hand. the ending of the Two Kinza is weak and leaves the audience without any Idea of that it has been all about. l‘wo Kim's: The director should try to find a new psychological gesture for the whole play. one that would give the actors an idea or the whole play.,25a8332744088292,132,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0020,same_item_page_source_page_cap,233841bc7bea6383,chekhov_on_directing_footnote_targets_raw.csv,14,837,1,"BEGINNING AND THE END - FEELING. OF THE IIHOLEI The beginning and the end. the feeling of the whole. must be experienced by our whole being in the same may as the objective. psychological gesture, etc.",93a3e6d7f75afdf1,134,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0021,same_item_page_source_page_cap,85961fc400740636,chekhov_on_directing_footnote_targets_raw.csv,23,836,1,"i-‘xichael Chekhov February 2a., 1938 STYLE - RHYTHHICAL EVENTS CHARACTERIZATION PSYCHOLOGICAL GESTURE STYLE - RHYTHNICAL EVENTS: Style from the point of View of rhythm. Each rhythmical avcnt has, as we know, a beginning and an end — what is in the middle we will leave for tho_moment.",89ce121c7eed690b,129,0.891,actor_struggle;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0022,same_item_page_source_page_cap,233841bc7bea6383,chekhov_on_directing_footnote_targets_raw.csv,15,837,1,"OF THE IIHOLEI The beginning and the end. the feeling of the whole. must be experienced by our whole being in the same may as the objective. psychological gesture, etc.",6d38aa02ae7e7cb8,134,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0023,same_item_page_source_page_cap,1f9e2cc0de5fb5cc,chekhov_on_directing_footnote_targets_raw.csv,17,857,3,"Now, I will give you another condition, and you will see that interpretation inevitably comes through this rhythmical chansing. will you new experience the second thing - the beginning and the end, and the middle part which binds the bo-» ginning and tho and. or as we call the first part. the last part, and the second part. The whole. in which is the first part. the transitional part. and the third part - quite definitely the beginning. transition. the end.",795710125faabb62,134,0.886,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0024,same_item_page_source_page_cap,79159b9ddd57d171,chekhov_on_directing_footnote_targets_raw.csv,42,1077,4,"But really prepared. and not empty clichés which are always following us. Secondly. the simple action, and the simple quality will appeal to our utmost inner life, as wo are not touching our feelings first. we are not tearing our soul to pieces to find our feclings,iwhich cannot be found in that way.",9104e01512e93c49,126,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0025,same_item_page_source_page_cap,85961fc400740636,chekhov_on_directing_footnote_targets_raw.csv,29,836,1,"Each rhythmical avcnt has, as we know, a beginning and an end — what is in the middle we will leave for tho_moment. But there is a beginning and an end, and the feeling of the whole is absolutely connected with this feeling of the be— ginning and tho end.",10616b2fa07c5922,128,0.891,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0026,same_item_page_source_page_cap,7dc797a6dd829b8c,chekhov_on_directing_footnote_targets_raw.csv,4,699,5,"1, Chekhov iay , 1937 his feeling of the whole will cive them in lime the feelin, for each detail which will Bbe in a certain place, because they feel the whole more or less and what detail must be where, and what ind of detail. Then I would proceed to part of the scene and rahcarse the beginning and the end, first with the gesture, then from the point of view of the objective, or atmesphere, etc., but some point of view must be siven, Then 1 would take a part of the scene — for example, the Smint and Salladina, and lot them act from different points of view, ihen you will come more and more to det@ils.",ccd5e5f41f627023,140,0.893,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0027,same_item_page_source_page_cap,8f3765bd457dcf13,chekhov_on_directing_footnote_targets_raw.csv,46,1074,10,"We must not git back and wait - that is fear which chokes us, First of all, because you are an actor you cannot sit and wait, except if you are embarrassed, then, of course, nothing happens, For example, let us take the moment when the sailors are drinking and talking to sach other in the atmosphere, theres ig so much to dol",51371bf95297a81c,126,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0028,overrepresented_item_cap_2,,chekhov_on_directing_footnote_targets_raw.csv,19,699,2,"Each immovable moment on the part of his cast must be considered by the director to be a pause, therefore, the di— rector must know what his actors are doing. lhis mmkes the question of the mise en scare very difficult. You must also keep in mind that the beginning and the end of a thing are entirely different, For example, cralon must enter absolutely freshly, because at the end he lies dead. lhe director can develop the whole thing if he knows the line and the development.",2c963191f048fb57,133,0.888,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0029,same_item_page_source_page_cap,8a6dd1c99ea0e968,chekhov_on_directing_footnote_targets_raw.csv,28,584,3,"Feel the beginning and tho and and the whole complete action and always be conucious of radiating. At first, it will Boom like many things to do all at the some time, but all at once they will come together with each concentration exorcise.",7169e6ecaf2776cb,128,0.889,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0030,same_item_page_source_page_cap,1f9e2cc0de5fb5cc,chekhov_on_directing_footnote_targets_raw.csv,33,857,3,The whole. in which is the first part. the transitional part. and the third part - quite definitely the beginning. transition. the end. Do not confuse two things: The end. and the stop. which is the real stop (finish of the work).,92ae0eafb84eb8c9,128,0.886,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0031,overrepresented_item_cap_2,,chekhov_on_directing_footnote_targets_raw.csv,37,837,3,"The beginning. in the sense that it is the first period of the whole process; the middle part, the middle period of the process; and the end, the last period of the process. Imagine it is like this: \W/ -m or em. a. rim Still there are three parts.",aad322ae63507baf,127,0.888,daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0032,same_item_page_source_page_cap,6e904bda145df89f,chekhov_on_directing_footnote_targets_raw.csv,49,647,1,"Inr@gine that the curtain has come down @and try to think of the whole play. This gives us a special kind of ""spectacles"" through which we are able to find the main feeling, the main sction of the play. #From the end to the beginning, try to remember 211 the things we have spoken about.",99a0f531bee90088,125,0.880,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0033,same_item_page_source_page_cap,2427669e51ca56cc,chekhov_on_directing_footnote_targets_raw.csv,52,837,8,"If an actor . . . \ . has a feeling of rhythm, these three pictures may some for him the whole world - not only from the beginning to the end. but from the end to the aeginning. As an actor I know how I have to sit on Lear's throne in the beginning, because I anticipate the end.",0a02d3ba9468cc23,125,0.890,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0034,same_item_page_source_page_cap,4917f26c7e57a107,chekhov_on_directing_footnote_targets_raw.csv,47,633,1,"*4 Hichael Chekhov hovember 27, 1936 RHYTHE — 3BBGINMNINC, END THE WHOLE | STYLEL ComPOsITION OF THE PLAY Ibseen Anton Chekhoy EBrand RHYTHMH — BEGINNING, XIDDLE, END : Every rhythmical movement consists of a beginning, a middle part, and an end in each case. When we have a feel— ing for the beginning, the middle, and the end, we will be sble to feel the whole movement,.",fd97be1437a6e3d1,126,0.884,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0035,overrepresented_item_cap_2,,chekhov_on_directing_footnote_targets_raw.csv,41,847,7,"In the first part we must fool the anticipation of the end, and when we are coming to the end. we must not forget the beginning. Therefore. it is possible by creating tho finst part always to feel the counter-part. which is the end. and the more we are nearing the and. the more we are in‘counter-action to the beginning. and this contrast actuallyggives un the feeling of the beginning and the and.",2531a73d0dfb9982,127,0.892,actor_struggle;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0036,same_item_page_source_page_cap,4917f26c7e57a107,chekhov_on_directing_footnote_targets_raw.csv,27,633,1,"When we have a feel— ing for the beginning, the middle, and the end, we will be sble to feel the whole movement,. When we start at the begin— ning, we must feel the middle and the end., wWwhoen we are in the middle, we must feel the past and the future; and when we are at the end, we must feel the middle and the beginning. when you have finished and are out of this pattern, then you have the fedling of the whole which has happensd.",172f925d5c4a76d1,129,0.884,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0037,same_item_page_source_page_cap,79159b9ddd57d171,chekhov_on_directing_footnote_targets_raw.csv,68,1077,4,"When the actor cannot find his feelings — for instance, tender love for a child - if he tells the director that ho has never had a child. the director can answer him that everyone can give the quality of tenderness and love to his actions. Simultaneously we tako the action of moving the chair with the quality of ""care?.",357cb8d6c8ef59ba,123,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0038,same_item_page_source_page_cap,d7e294b70d55b5f0,chekhov_on_directing_footnote_targets_raw.csv,32,731,2,"Chekhov June 28. 1937 feeling of the whole. without this frame you will Stand as before an ocean: if it is to be an ocean which is rough, then it must have a beginning. a middle and an end.",d3c35024e03a1cf0,128,0.889,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0039,same_item_page_source_page_cap,71d8688c263d7696,chekhov_on_directing_footnote_targets_raw.csv,73,839,1,"Radiation - this power of conquering the Space - must be a spiritual thi Q. lover depend upon your body or your voice, because they are too weak. iho Spiritual motivation must be there. If we do the psychological gosturo without this inLer spiritual 90 r. it is nothh ;ho psychological gesture is a lever for the actor‘s whole being.",a16ef0f0f3aa1f1f,123,0.884,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0040,same_item_page_source_page_cap,ec6c6005c88c3568,chekhov_on_directing_footnote_targets_raw.csv,91,663,5,"Chekhov february 3, 1937 AFTER TH?) CURTAIN IS TJOWN: 1hr: ’Enldon Stanly There are three mogcnts which we will later call climaxes. These thrce points are the moments which will lead us through the whole play. tur play begins with a certain silence and ends with a silence. and between these two silences lies the whole play.",696d2da0ea133a68,122,0.892,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0041,same_item_page_source_page_cap,d7e294b70d55b5f0,chekhov_on_directing_footnote_targets_raw.csv,31,731,2,"1937 feeling of the whole. without this frame you will Stand as before an ocean: if it is to be an ocean which is rough, then it must have a beginning. a middle and an end.",4d04ff97db8573ee,128,0.889,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0042,overrepresented_item_cap_2,,chekhov_on_directing_footnote_targets_raw.csv,65,699,2,"You must also keep in mind that the beginning and the end of a thing are entirely different, For example, cralon must enter absolutely freshly, because at the end he lies dead. lhe director can develop the whole thing if he knows the line and the development. Through a technical rehearsal you must find these themes, and from this you will gradually find the nuances.",5c9a1654f20ad5d0,124,0.888,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0043,same_item_page_source_page_cap,c00719a8f1a21795,chekhov_on_directing_footnote_targets_raw.csv,96,859,1,"Secondly, we have tried to live in this one whole thing with a feeling that there is a beginning, there is an end and a beginning. and they are bound together and this link which binds them together we call the middle part. or the transitional part. Recall all those feelings.",33ad19efe2b36b3f,122,0.889,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0044,overrepresented_item_cap_2,,chekhov_on_directing_footnote_targets_raw.csv,90,837,2,"Chekhov February 25, 1938 end as a t ansition - a Esychological. ohxsieal, or emotional bridge. It is quite natural if we have a feeling of the whole, we experience this middle part, but by studying these things we have to pay attention especially to this transitional part.",f5ac6f5f558eca37,122,0.889,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0045,same_item_page_source_page_cap,2427669e51ca56cc,chekhov_on_directing_footnote_targets_raw.csv,53,837,8,This is the rhythmical secret of the theatre - I have to act from the end to the beginning. This can be awakened only by a feeling of rhythm. when the future is the past. and the pre— sent time is everywhere.,4e936d49e2824e78,125,0.890,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0046,excessive_unusual_characters_ocr_noise,,chekhov_on_directing_footnote_targets_raw.csv,87,827,14,"Elnhirst and Miss Crowtherx __________.__________________________.______ Mrs, Elnhirstx I have one or two points propArcd. First, I wondercd if it would help you to see the whole scene more in terms of the outward form. so that we would get the feeling the character was working to a climax.",04d43fec5c18f619,122,0.857,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0047,same_item_page_source_page_cap,5eb65514d2d6e7ec,chekhov_on_directing_footnote_targets_raw.csv,64,680,12,"Chekhov ﬂarch 16, 1937 yet be n in m snirit, because that will be a prophecy for the future. {his image of an empty king's body will never disappear from the mind of the audience. uhcn i must make the metamorphosis to hear my soul and be king. without the smallest sign of being king in my body. 1 must not only know the end of my part, I must act the beginning period. showing the end in an opposite direction.",8949c8830d4f9abe,124,0.890,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
